,session,section,type,game,ref_game,move_num,player,start_row,start_col,end_row,end_col,RT,DT,winner,chosen_winner
211,2,3,,28,,2,human,12,12,12,5,3.127706707979087,3.1727388750005048,human,
212,2,3,,28,,3,AI,12,5,12,2,,1.25,human,
213,2,3,,28,,4,human,12,2,1,2,3.3725586669752374,3.417914124991512,human,
214,2,3,,28,,5,AI,1,2,0,2,,1.25,human,
215,2,3,,28,,6,human,0,2,0,0,1.7554525830200873,1.8001595000096131,human,
216,2,3,,29,,1,AI,8,13,6,11,,1.25,human,
217,2,3,,29,,2,human,6,11,6,2,1.908783457998652,1.9534375410003122,human,
218,2,3,,29,,3,AI,6,2,4,0,,1.25,human,
219,2,3,,29,,4,human,4,0,0,0,1.681578041985631,1.7267494999978226,human,
220,2,3,,30,,1,AI,1,7,1,2,,1.25,AI,
221,2,3,,30,,2,human,1,2,0,2,7.750437625014456,7.795051209017402,AI,
222,2,3,,30,,3,AI,0,2,0,0,,1.25,AI,
223,2,4,euc,1,,1,human,9,12,9,3,34.232754708005814,34.277655957994284,human,
224,2,4,euc,1,,2,AI,9,3,0,3,,1.25,human,
225,2,4,euc,1,,3,human,0,3,0,0,3.1849400409846567,3.229925166000612,human,
226,2,4,euc,2,,1,AI,13,14,13,1,,1.25,AI,
227,2,4,euc,2,,2,human,13,1,0,1,6.875429542007623,6.920041000004858,AI,
228,2,4,euc,2,,3,AI,0,1,0,0,,1.25,AI,
229,2,4,euc,3,,1,human,5,9,5,4,19.3593305000104,19.404192457994213,AI,
230,2,4,euc,3,,2,AI,5,4,1,4,,1.25,AI,
231,2,4,euc,3,,3,human,1,4,1,0,5.54776754102204,5.593107083026553,AI,
232,2,4,euc,3,,4,AI,1,0,0,0,,1.25,AI,
233,2,4,euc,4,,1,AI,2,0,0,0,,1.25,AI,
234,2,4,euc,5,,1,human,3,5,3,2,29.559081125014927,29.604282292013522,AI,
235,2,4,euc,5,,2,AI,3,2,1,2,,1.25,AI,
236,2,4,euc,5,,3,human,1,2,1,0,8.26869691599859,8.31336166599067,AI,
237,2,4,euc,5,,4,AI,1,0,0,0,,1.25,AI,
238,2,4,euc,6,,1,human,7,0,6,0,16.95734412499587,17.002864915993996,human,
239,2,4,euc,6,,2,AI,6,0,1,0,,1.25,human,
240,2,4,euc,6,,3,human,1,0,0,0,3.178807959018741,3.2235665420012083,human,
241,2,4,euc,7,,1,human,6,14,6,2,9.613712874997873,9.658552541019162,AI,
242,2,4,euc,7,,2,AI,6,2,4,2,,1.25,AI,
243,2,4,euc,7,,3,human,4,2,0,2,10.602427250007167,10.647284666018095,AI,
244,2,4,euc,7,,4,AI,0,2,0,0,,1.25,AI,
245,2,4,euc,8,,1,AI,7,11,7,4,,1.25,AI,
246,2,4,euc,8,,2,human,7,4,3,4,9.224670166004216,9.269471791019896,AI,
247,2,4,euc,8,,3,AI,3,4,3,1,,1.25,AI,
248,2,4,euc,8,,4,human,3,1,0,1,3.4723491669865325,3.5177562499884516,AI,
249,2,4,euc,8,,5,AI,0,1,0,0,,1.25,AI,
250,2,4,euc,9,,1,AI,7,0,3,0,,1.25,human,
251,2,4,euc,9,,2,human,3,0,0,0,1.8632978749810718,1.9082808340026531,human,
252,2,4,euc,10,,1,human,4,3,1,3,11.705985292006517,11.750900417013327,human,
253,2,4,euc,10,,2,AI,1,3,1,0,,1.25,human,
254,2,4,euc,10,,3,human,1,0,0,0,2.018200458987849,2.063105374982115,human,
255,2,4,euc,11,,1,human,13,2,9,2,4.944446833018446,4.989199625008041,AI,
256,2,4,euc,11,,2,AI,9,2,1,2,,1.25,AI,
257,2,4,euc,11,,3,human,1,2,1,0,5.59445920799044,5.639635500003351,AI,
258,2,4,euc,11,,4,AI,1,0,0,0,,1.25,AI,
259,2,4,euc,12,,1,AI,14,2,8,2,,1.25,human,
260,2,4,euc,12,,2,human,8,2,2,2,54.018863999983296,54.063685500004794,human,
261,2,4,euc,12,,3,AI,2,2,2,0,,1.25,human,
262,2,4,euc,12,,4,human,2,0,0,0,1.7663241660047788,1.8116050410026219,human,
263,2,4,euc,13,,1,AI,2,1,1,1,,1.25,AI,
264,2,4,euc,13,,2,human,1,1,1,0,6.005429375014501,6.050299541995628,AI,
265,2,4,euc,13,,3,AI,1,0,0,0,,1.25,AI,
266,2,4,euc,14,,1,human,14,3,2,3,7.600345541985007,7.6455128339875955,AI,
267,2,4,euc,14,,2,AI,2,3,2,1,,1.25,AI,
268,2,4,euc,14,,3,human,2,1,0,1,6.223469000018667,6.269193875021301,AI,
269,2,4,euc,14,,4,AI,0,1,0,0,,1.25,AI,
270,2,4,euc,15,,1,AI,12,8,4,8,,1.25,AI,
271,2,4,euc,15,,2,human,4,8,4,0,7.6429318340087775,7.688231999985874,AI,
272,2,4,euc,15,,3,AI,4,0,0,0,,1.25,AI,
273,2,4,euc,16,,1,AI,7,10,7,3,,1.25,AI,
274,2,4,euc,16,,2,human,7,3,1,3,3.8646075410069898,3.909311958006583,AI,
275,2,4,euc,16,,3,AI,1,3,1,1,,1.25,AI,
276,2,4,euc,16,,4,human,1,1,1,0,3.12857925001299,3.1732185420114547,AI,
277,2,4,euc,16,,5,AI,1,0,0,0,,1.25,AI,
278,2,4,euc,17,,1,human,13,11,2,11,2.719956707995152,2.765903416002402,AI,
279,2,4,euc,17,,2,AI,2,11,2,1,,1.25,AI,
280,2,4,euc,17,,3,human,2,1,0,1,5.831002457998693,5.877005707996432,AI,
281,2,4,euc,17,,4,AI,0,1,0,0,,1.25,AI,
282,2,4,euc,18,,1,AI,2,14,2,0,,1.25,human,
283,2,4,euc,18,,2,human,2,0,0,0,1.964979750016937,2.0111718340194784,human,
284,2,4,euc,19,,1,human,14,10,4,10,6.815266290999716,6.860413916001562,human,
285,2,4,euc,19,,2,AI,4,10,4,2,,1.25,human,
286,2,4,euc,19,,3,human,4,2,2,2,5.500651499984087,5.545992250001291,human,
287,2,4,euc,19,,4,AI,2,2,2,0,,1.25,human,
288,2,4,euc,19,,5,human,2,0,0,0,2.1607842910161708,2.2060529160080478,human,
289,2,4,euc,20,,1,AI,6,13,6,1,,1.25,AI,
290,2,4,euc,20,,2,human,6,1,4,1,5.94501195900375,5.989867958996911,AI,
291,2,4,euc,20,,3,AI,4,1,1,1,,1.25,AI,
292,2,4,euc,20,,4,human,1,1,1,0,4.00700766601949,4.05252808300429,AI,
293,2,4,euc,20,,5,AI,1,0,0,0,,1.25,AI,
294,2,4,euc,21,,1,human,2,3,2,1,3.240573916991707,3.285707375005586,human,
295,2,4,euc,21,,2,AI,2,1,0,1,,1.25,human,
296,2,4,euc,21,,3,human,0,1,0,0,2.606181540992111,2.651182041008724,human,
297,2,4,euc,22,,1,human,1,8,1,2,3.476891958998749,3.5224434589908924,AI,
298,2,4,euc,22,,2,AI,1,2,1,1,,1.25,AI,
